@RELATION f1

@ATTRIBUTE position_prev_race NUMERIC
@ATTRIBUTE position_prev_year NUMERIC
@ATTRIBUTE position_qualy     NUMERIC
@ATTRIBUTE 'class' { IN, OUT}

@DATA
15,-1,20,OUT
7,-1,13,OUT
16,14,11,OUT
9,10,12,OUT
14,6,16,OUT
1,1,1,IN
4,10,4,IN
2,2,3,IN
6,8,5,IN
3,-1,2,IN
9,4,7,IN
7,12,10,IN
11,3,11,IN
19,11,17,IN
5,7,6,IN
12,9,14,OUT
8,-1,12,OUT
20,5,8,OUT
10,20,13,OUT
18,14,16,OUT
15,-1,18,OUT
16,-1,19,OUT
17,-1,15,OUT
13,-1,9,OUT
14,17,-1,OUT
3,2,1,IN
1,1,2,IN
5,-1,3,IN
4,5,4,IN
2,7,7,IN
10,13,9,IN
6,3,10,IN
7,8,11,IN
19,-1,5,IN
9,14,8,IN
18,-1,6,OUT
12,-1,15,OUT
8,9,18,OUT
14,20,16,OUT
13,10,17,OUT
20,11,14,OUT
16,-1,19,OUT
17,-1,20,OUT
15,15,12,OUT
11,6,13,OUT
1,1,2,IN
3,-1,3,IN
2,2,1,IN
10,19,5,IN
7,3,4,IN
5,12,6,IN
13,21,7,IN
16,6,12,IN
12,-1,16,IN
9,-1,8,IN
15,5,13,OUT
8,8,11,OUT
14,11,18,OUT
4,16,17,OUT
6,7,14,OUT
18,-1,20,OUT
17,-1,19,OUT
11,-1,10,OUT
20,4,15,OUT
19,22,9,OUT
3,17,1,IN
1,2,2,IN
14,7,4,IN
6,10,3,IN
2,-1,16,IN
15,12,17,IN
20,19,6,IN
11,5,7,IN
4,16,8,IN
12,15,5,IN
7,11,10,OUT
10,-1,11,OUT
5,1,9,OUT
13,20,13,OUT
18,-1,12,OUT
9,-1,15,OUT
17,-1,19,OUT
16,-1,18,OUT
8,4,-1,OUT
19,6,14,OUT
2,1,2,IN
1,2,1,IN
6,4,4,IN
5,-1,3,IN
3,3,6,IN
8,9,5,IN
7,12,11,IN
15,-1,7,IN
11,6,16,IN
13,8,14,IN
16,-1,9,OUT
9,22,8,OUT
14,18,12,OUT
18,-1,19,OUT
10,14,10,OUT
12,-1,13,OUT
19,11,17,OUT
17,-1,20,OUT
4,10,18,OUT
20,5,15,OUT
2,1,1,IN
1,18,2,IN
4,-1,6,IN
3,21,3,IN
5,2,4,IN
12,9,7,IN
6,8,9,IN
19,22,5,IN
9,11,11,IN
20,6,17,IN
13,19,15,OUT
14,-1,20,OUT
18,-1,19,OUT
16,-1,8,OUT
10,3,10,OUT
8,-1,13,OUT
15,12,12,OUT
7,17,14,OUT
17,4,18,OUT
11,-1,16,OUT
3,-1,3,IN
6,14,7,IN
15,1,4,IN
16,-1,9,IN
10,2,15,IN
1,3,1,IN
17,21,10,IN
2,4,2,IN
19,10,16,IN
11,22,17,IN
20,-1,18,OUT
4,5,8,OUT
5,8,6,OUT
18,13,14,OUT
12,-1,19,OUT
13,-1,20,OUT
14,-1,12,OUT
8,6,5,OUT
9,19,13,OUT
7,20,11,OUT
6,19,1,IN
8,2,2,IN
7,20,4,IN
2,9,12,IN
19,8,5,IN
12,13,7,IN
18,4,14,IN
4,-1,15,IN
13,3,3,IN
10,17,13,IN
11,-1,16,OUT
1,-1,9,OUT
5,7,18,OUT
9,6,17,OUT
15,-1,20,OUT
16,-1,19,OUT
17,-1,10,OUT
3,1,6,OUT
14,21,8,OUT
20,10,11,OUT
1,1,1,IN
12,-1,3,IN
6,3,5,IN
9,4,6,IN
7,9,2,IN
5,7,7,IN
20,12,9,IN
18,5,15,IN
10,20,10,IN
4,11,14,IN
17,-1,13,OUT
8,-1,20,OUT
11,-1,12,OUT
14,8,16,OUT
16,-1,18,OUT
15,-1,19,OUT
2,2,4,OUT
13,21,17,OUT
3,16,8,OUT
19,14,11,OUT
2,-1,1,IN
8,3,2,IN
5,8,3,IN
17,21,6,IN
4,11,7,IN
10,14,4,IN
6,7,13,IN
12,-1,8,IN
11,-1,14,IN
13,-1,16,IN
9,15,17,OUT
20,12,18,OUT
19,13,10,OUT
-1,-1,20,OUT
15,-1,19,OUT
14,18,15,OUT
18,4,12,OUT
1,1,5,OUT
3,5,9,OUT
7,9,11,OUT
18,1,2,IN
4,2,1,IN
1,-1,4,IN
3,12,6,IN
5,6,3,IN
20,8,11,IN
13,15,8,IN
12,16,13,IN
8,-1,15,IN
9,-1,12,IN
17,22,14,OUT
7,10,9,OUT
6,11,10,OUT
11,17,17,OUT
2,4,7,OUT
16,5,16,OUT
19,7,5,OUT
14,-1,20,OUT
15,-1,19,OUT
10,-1,18,OUT
1,1,2,IN
3,-1,4,IN
12,10,7,IN
17,11,15,IN
13,14,11,IN
20,-1,12,IN
8,18,14,IN
4,9,5,IN
16,4,13,IN
9,-1,9,IN
11,6,16,OUT
5,3,3,OUT
-1,-1,19,OUT
19,-1,18,OUT
15,7,10,OUT
10,-1,-1,OUT
7,17,8,OUT
2,2,1,OUT
6,12,6,OUT
14,19,17,OUT
1,1,2,IN
18,2,1,IN
2,-1,5,IN
10,-1,10,IN
3,17,6,IN
9,12,14,IN
16,-1,20,IN
7,9,15,IN
6,-1,17,IN
15,3,3,IN
11,6,11,OUT
-1,-1,18,OUT
5,15,4,OUT
19,16,7,OUT
20,-1,16,OUT
8,13,8,OUT
4,4,9,OUT
17,11,13,OUT
12,5,12,OUT
14,-1,19,OUT
2,-1,1,IN
1,-1,2,IN
19,-1,6,IN
13,-1,4,IN
10,-1,5,IN
17,-1,7,IN
14,-1,10,IN
5,-1,9,IN
4,-1,8,IN
18,-1,12,IN
8,-1,13,OUT
15,-1,14,OUT
7,-1,11,OUT
6,-1,20,OUT
12,-1,18,OUT
20,-1,19,OUT
